index,date,price
770,12/8/2014,19.5
771,12/9/2014,19.67000008
772,12/10/2014,19.48999977
773,12/11/2014,19.77000046
774,12/12/2014,19.79000092
775,12/15/2014,19.79000092
776,12/16/2014,19.26000023
777,12/17/2014,19.26000023
778,12/18/2014,19.20000076
779,12/19/2014,19.48999977
780,12/22/2014,19.48999977
781,12/23/2014,19.23999977
782,12/24/2014,19.23999977
783,12/26/2014,18.90999985
784,12/29/2014,19.09000015
785,12/30/2014,19.26000023
786,12/31/2014,19.02000046
787,1/2/2015,19.02000046
788,1/5/2015,19.02000046
789,1/6/2015,18.73999977
790,1/7/2015,18.73999977
791,1/8/2015,18.68000031
792,1/9/2015,18.61000061
793,1/12/2015,18.61000061
794,1/13/2015,18.61000061
795,1/14/2015,16.92000008
796,1/15/2015,17.48999977
797,1/16/2015,17.82999992
798,1/20/2015,17.56999969
799,1/21/2015,17.52000046
800,1/22/2015,17.39999962
801,1/23/2015,16.90999985
802,1/26/2015,17.05999947
803,1/27/2015,16.72999954
804,1/28/2015,16.75
805,1/29/2015,16.68000031
806,1/30/2015,16.68000031
807,2/2/2015,11.89999962
808,2/3/2015,17.34000015
809,2/4/2015,17.34000015
810,2/5/2015,17.56999969
811,2/6/2015,17.42000008
812,2/9/2015,17.52000046
813,2/10/2015,17.29000092
814,2/11/2015,17.36000061
815,2/12/2015,17.70000076
816,2/13/2015,17.70000076
817,2/17/2015,17.29999924
818,2/18/2015,17.62000084
819,2/19/2015,17.65999985
820,2/20/2015,17.54000092
821,2/23/2015,17.45000076
822,2/24/2015,17.45000076
823,2/25/2015,17.97999954
824,2/26/2015,18.55999947
825,2/27/2015,17.97999954
826,3/2/2015,17.97999954
827,3/3/2015,17.97999954
828,3/4/2015,17.97999954
829,3/5/2015,18.02000046
830,3/6/2015,17.65999985
831,3/9/2015,18.04999924
832,3/10/2015,17.62000084
833,3/11/2015,17.69000053
834,3/12/2015,17.69000053
835,3/13/2015,18.09000015
836,3/16/2015,18.09000015
837,3/17/2015,17.90999985
838,3/18/2015,17.52000046
839,3/19/2015,17.52000046
840,3/20/2015,18.29000092
841,3/23/2015,19.46999931
842,3/24/2015,18.86000061
843,3/25/2015,18.86000061
844,3/26/2015,19.05999947
845,3/27/2015,19.05999947
846,3/30/2015,18.79999924
847,3/31/2015,18.59000015
848,4/1/2015,18.43000031
849,4/2/2015,18.43000031
850,4/6/2015,18.43000031
851,4/7/2015,18.65999985
852,4/8/2015,18.44000053
853,4/9/2015,18.44000053
854,4/10/2015,18.54999924
855,4/13/2015,18.44000053
856,4/14/2015,17.97999954
857,4/15/2015,18.27000046
858,4/16/2015,18.65999985
859,4/17/2015,18.65999985
860,4/20/2015,18.45999908
861,4/21/2015,18.20999908
862,4/22/2015,18.04999924
863,4/23/2015,18.36000061
864,4/24/2015,18.36000061
865,4/27/2015,18.75
866,4/28/2015,18.75
867,4/29/2015,18.85000038
868,4/30/2015,19.37000084
869,5/1/2015,19.85000038
870,5/4/2015,19.63999939
871,5/5/2015,19.79000092
872,5/6/2015,19.65999985
873,5/7/2015,19.63999939
874,5/8/2015,19.63999939
875,5/11/2015,19.63999939
876,5/12/2015,19.70999908
877,5/13/2015,19.71999931
878,5/14/2015,19.70999908
879,5/15/2015,19.70999908
880,5/18/2015,19.65999985
881,5/19/2015,19.10000038
882,5/20/2015,19.03000069
883,5/21/2015,19.30999947
884,5/22/2015,18.87999916
885,5/26/2015,18.87999916
886,5/27/2015,18.89999962
887,5/28/2015,18.89999962
888,5/29/2015,18.5
889,6/1/2015,18.5
890,6/2/2015,18.5
891,6/3/2015,18.47999954
892,6/4/2015,18.12999916
893,6/5/2015,18.12999916
894,6/8/2015,18.12999916
895,6/9/2015,18.45000076
896,6/10/2015,18.45000076
897,6/11/2015,18.45000076
898,6/12/2015,18.45000076
899,6/15/2015,17.82999992
900,6/16/2015,17.82999992
901,6/17/2015,17.82999992
902,6/18/2015,17.82999992
903,6/19/2015,16.95999908
